"API.MATS3c"	"API.BCUTc-1l"	"API.MAXDN"	"API.ZMIC3"	"API.JGI3"	"EXP1.GATS4p"	"EXP1.ETA_EtaP_L"	"EXP1.MDEC.22"	"EXP2.ATS6m"	"PreparationMethod"	"Excipient1_mg_per_1g"	"Ball_diameter_mm"	"Medium_ionic_strength"	"Time_min"	"Q"
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	4.87103	7.06751
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	9.9608	13.0941
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	14.94	17.9762
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	29.9105	27.7317
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	44.9887	34.5734
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	60.0287	39.2299
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	5.01261	50.5636
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	10.0671	58.3592
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	15.0461	63.0332
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	30.1247	70.3952
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	45.0917	75.364
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	60.0564	77.1071
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	5	0.46
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	10	0.15
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	15	0.28
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	30	1.15
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	45	1.83
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	60	2.22
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	75	2.57
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	5	51.62
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	10	48.908
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	15	48.83
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	30	49.372
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	45	48.866
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	60	48.858
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	75	48.996
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	5	62.85
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	10	80.628
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	15	88.287
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	30	96.084
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	45	98.144
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	60	99.376
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	90	100
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	120	100
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	5	20.005
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	10	22.692
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	15	23.907
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	30	28.621
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	45	32.18
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	60	34.644
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	90	38.302
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	120	40.779
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	5	53.747
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	10	68.918
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	15	77.173
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	30	89.781
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	45	94.425
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	60	97.616
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	90	100
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	120	100
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.187421471	0.35451	0	0	4	500	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.187421471	0.35451	0	0	4	500	0	0	5	20.41209049
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.187421471	0.35451	0	0	4	500	0	0	15	38.90894131
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.187421471	0.35451	0	0	4	500	0	0	30	55.57257319
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.187421471	0.35451	0	0	4	500	0	0	45	60.38068814
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.187421471	0.35451	0	0	4	500	0	0	60	62.81797595
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	5	9.363729285
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	15	20.28036683
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	30	28.88102169
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	45	33.60816454
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	60	36.69611276
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	5	13.0278686
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	15	29.46246096
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	30	43.90499573
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	45	55.50662613
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.268490371	0.441664054	0	0	4	500	0	0	60	58.98405495
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	9.144576	4	333	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	9.144576	4	333	0	0	5	12.53496612
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	9.144576	4	333	0	0	15	19.80231496
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	9.144576	4	333	0	0	30	26.01316131
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	9.144576	4	333	0	0	45	30.27540556
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	9.144576	4	333	0	0	60	33.94673986
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	5	5.767128161
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	15	10.88214612
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	30	15.89670858
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	45	19.57624018
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	60	22.65705552
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	5	15.71791791
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	15	25.17854836
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	30	30.25992896
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	45	34.44860252
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.404719868	0.34173	1.650963624	0	4	500	0	0	60	37.6882575
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	500	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	500	0	0	5	26.77499979
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	500	0	0	15	36.69062985
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	500	0	0	30	44.39706802
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	500	0	0	45	47.87734708
